,station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators,respondent
1515,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Pavel Mikoška, ředitel kvality obchodního řetězce Albert a viceprezident Svazu obchodu a cestovního ruchu. Jaký je další osud potravin, které se v supermarketu neprodají a jsou přitom vhodné ke konzumaci? Proč se u nás stále plýtvá jídlem navzdory vysokým cenám? Mění se nějak zvyky a nároky zákazníků? Moderuje Vladimír Kroc.",18661530,Dvacet minut Radiožurnálu,2023-04-18,17:06:24,17:30:19,premiéra,24,Vladimír Kroc,Vladimír Kroc
1518,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18661537,Hlavní zprávy - rozhovory a komentáře,2023-04-18,18:10:59,18:30:00,premiéra,20,,
1585,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18661691,Hlavní zprávy - rozhovory a komentáře,2023-04-19,12:10:00,12:30:00,premiéra,20,,
1603,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Martin Pýcha, předseda Zemědělského svazu. Co se děje s levným ukrajinským obilím, které se přes Evropskou unii transportuje do Afriky? Nekončí částečně v sýpkách v evropských zemích? Neohrožuje produkci místních zemědělců? Mělo by Česko podobně jako Polsko nebo Maďarsko proti dovozu ukrajinského obilí vystoupit? Moderuje Tomáš Pancíř.",18661729,Dvacet minut Radiožurnálu,2023-04-19,17:06:08,17:29:56,premiéra,24,Tomáš Pancíř,
1606,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18661736,Hlavní zprávy - rozhovory a komentáře,2023-04-19,18:10:21,18:30:00,premiéra,20,,
1675,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18661889,Hlavní zprávy - rozhovory a komentáře,2023-04-20,12:09:55,12:30:00,premiéra,21,,
1693,Radiožurnál,AFTERNOON,Publicistika,"Hostem je historik a senátor Martin Krsek. Zhruba dvacet zaměstnanců Ústavu pro studium totalitních režimů podává po sporu s vedením výpověď. Mají pravdu, když tvrdí, že jim vedení neumožňuje naplňovat cíle jejich práce, zejména v oblasti vzdělávání? Neměl by dlouhotrvající spory v ústavu řešit senát jako instituce, která volí radu ústavu? Moderuje Tomáš Pancíř.",18661927,Dvacet minut Radiožurnálu,2023-04-20,17:06:32,17:29:52,premiéra,24,Tomáš Pancíř,Martin Krsek
1696,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18661934,Hlavní zprávy - rozhovory a komentáře,2023-04-20,18:10:00,18:30:00,premiéra,20,,
1764,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18662087,Hlavní zprávy - rozhovory a komentáře,2023-04-21,12:10:13,12:30:00,premiéra,20,,
1782,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Jan Bartošek z KDU-ČSL. Tvrdí, že poslanec a předseda hnutí ANO Andrej Babiš hrubě porušil jednací řád sněmovny, když počátkem března během dlouhotrvající schůze nerespektoval rozhodnutí o omezení délky vystoupení a odmítl opustit řečniště. Co ještě se mu na chování Andreje Babiše nezdá a proč se kvůli tomu obrací na mandátový a imunitní výbor sněmovny? Moderuje Tomáš Pancíř.",18662125,Dvacet minut Radiožurnálu,2023-04-21,17:05:30,17:29:52,premiéra,25,Tomáš Pancíř,Jan Bartošek;Andrej Babiš
1785,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18662132,Hlavní zprávy - rozhovory a komentáře,2023-04-21,18:10:07,18:30:00,premiéra,20,,
1851,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18662273,Hlavní zprávy - rozhovory a komentáře,2023-04-22,12:09:45,12:30:00,premiéra,21,,
1931,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18662457,Hlavní zprávy - rozhovory a komentáře,2023-04-23,12:10:33,12:30:00,premiéra,20,,
2016,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18676725,Hlavní zprávy - rozhovory a komentáře,2023-04-24,12:10:00,12:30:00,premiéra,20,,
2034,Radiožurnál,AFTERNOON,Publicistika,Hostem je Josef Středula. Odborový předák Josef Středula dnes odpoledne představí prezidentovi republiky postoj odborářů k chystaným změnám daní a penzí. Jaké výhrady k vládním plánům odbory mají? Uvažují kvůli úpravám daní a důchodů o protestních akcích? Moderuje Vladimír Kroc.,18676763,Dvacet minut Radiožurnálu,2023-04-24,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Josef Středula;Vladimír Kroc
2037,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18676770,Hlavní zprávy - rozhovory a komentáře,2023-04-24,18:10:59,18:30:00,premiéra,20,,
2106,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18676923,Hlavní zprávy - rozhovory a komentáře,2023-04-25,12:10:00,12:30:00,premiéra,20,,
2124,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Robert Plaga, předseda Rady Národního akreditačního úřadu a bývalý ministr školství. Na co se má připravit nástupce Vladimíra Balaše na místě ministra školství? Co dobrého přinese do školství novela zákona o pedagogických pracovnících, kterou se koalici podařilo ve sněmovně prosadit? Zaručí slušný plat alespoň učitelům? Moderuje Vladimír Kroc.",18676961,Dvacet minut Radiožurnálu,2023-04-25,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Robert Plaga;Vladimír Balaš;Vladimír Kroc
2127,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18676968,Hlavní zprávy - rozhovory a komentáře,2023-04-25,18:10:59,18:30:00,premiéra,20,,
2194,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18677122,Hlavní zprávy - rozhovory a komentáře,2023-04-26,12:10:05,12:30:00,premiéra,20,,
2212,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Alexandr Vondra, europoslanec z ODS. Státy Evropské unie schválily zpoplatnění emisí z vytápění budov a silničního provozu od roku 2027. Je možné vzhledem k dopadům klimatických změn postupovat jinak? Máme důvod se obávat zdražení energií? Moderuje Vladimír Kroc.",18677160,Dvacet minut Radiožurnálu,2023-04-26,17:05:47,17:29:46,premiéra,24,Vladimír Kroc,Alexandr Vondra;Vladimír Kroc
2215,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18677167,Hlavní zprávy - rozhovory a komentáře,2023-04-26,18:10:01,18:30:00,premiéra,20,,
2284,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18677320,Hlavní zprávy - rozhovory a komentáře,2023-04-27,12:09:53,12:30:00,premiéra,21,,
2302,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Helena Langšádlová z TOP09, ministryně pro vědu, výzkum a inovace. Na čem váznou jednání vládní koalice týkající se rozpočtových úspor? Podaří-li se vládě v příštím roce snížit rozpočtový deficit o sedmdesát miliard, nedotkne se to objemu peněz určených na vědecký rozvoj? Moderuje Vladimír Kroc.",18677358,Dvacet minut Radiožurnálu,2023-04-27,17:05:46,17:29:54,premiéra,25,Vladimír Kroc,Helena Langšádlová;Vladimír Kroc
2305,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18677365,Hlavní zprávy - rozhovory a komentáře,2023-04-27,18:09:58,18:30:00,premiéra,21,,
2371,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18677518,Hlavní zprávy - rozhovory a komentáře,2023-04-28,12:10:00,12:30:00,premiéra,20,,
2389,Radiožurnál,AFTERNOON,Publicistika,"Hostem je prezident Českého svazu biatlonu Jiří Hamza. Český olympijský výbor neschvaluje účast ruských a běloruských sportovců na olympijských hrách v Paříži. Jak dlouho výboru trvalo toto rozhodnutí schválit? A jak se v tomto případě výbor vyrovnal s často připomínanou zásadou, že sport do politiky nepatří? Moderuje Vladimír Kroc.",18677556,Dvacet minut Radiožurnálu,2023-04-28,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Jiří Hamza;Vladimír Kroc
2392,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18677563,Hlavní zprávy - rozhovory a komentáře,2023-04-28,18:10:59,18:30:00,premiéra,20,,
2455,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18677704,Hlavní zprávy - rozhovory a komentáře,2023-04-29,12:10:00,12:30:00,premiéra,20,,
2696,Plus,MORNING,Publicistika,"Někteří vládní politici volají po tom, aby se obnovila karenční doba, kterou zrušila předchozí vláda. To by znamenalo, že by se znovu neproplácela nemocenská v prvních dnech nemoci. Karenční doba má svoje přesvědčené zastánce i zavilé odpůrce. Jaké jsou její výhody a nevýhody? Zeptáme se viceprezidenta Svazu průmyslu a dopravy Jana Rafaje a odborníka na trh práce z Českomoravské konfederace odborových svazů Jiřího Vaňáska. Moderuje Lukáš Matoška.",18603075,Pro a proti,2023-04-03,09:34:59,09:59:29,premiéra,25,Lukáš Matoška,
2704,Plus,NOON,Publicistika,"Jakub Lucký, zvláštní zpravodaj Českého rozhlasu ve Finsku. Průzkumy před nedělními parlamentními volbami ve Finsku naznačovaly vyrovnaný souboj mezi sociálními demokraty dosavadní premiérky Sanny Marinové, konzervativci a krajní pravicí. Kolik sympatií k mladé a nekonvenční premiérce nakonec voliči projevili? Co všechno jí při hlasování uškodilo a co jí pomohlo? Moderuje Jan Bumba.",18603087,Interview Plus,2023-04-03,11:33:42,12:00:00,premiéra,27,Jan Bumba,
2783,Plus,MORNING,Publicistika,"Pražské bistro zveřejnilo sedm striktních bodů, jak se mají chovat rodiče a jejich děti, pokud se u nich chtějí najíst a napít. Vyvolalo tím nebývalou společenskou diskusi. Jde o legitimní požadavek provozovatele pustit do svého podniku hosty, kteří se budou chovat podle jím určených pravidel? Nebo majitelé jednali arogantně bez respektu ke svým klientům, a to hlavně těm nejmenším? Patří děti do restaurací a kaváren nebo jen na pískoviště a do dětských koutků? Zeptáme se Aleny Malé, spolumajitelky hotelu V nebi a Václava Stárka prezidenta Asociace hotelů a restaurací ČR.",18603187,Pro a proti,2023-04-04,09:34:00,10:00:00,premiéra,26,,
2791,Plus,NOON,Publicistika,"Tereza Matějčková, filozofka. Vyučující humanitních oborů tvrdí, že jsou připraveni stupňovat protesty proti nízkým platům na vysokých školách. Premiér Petr Fiala říká, že navýšení dotací ze státního rozpočtu by samo o sobě nic nevyřešilo. Jsou peníze hlavní problém, nebo je věc složitější? Hostem Jana Bumby je Tereza Matějčková, která se rozhodla ukončit akademickou kariéru o odejít z Filozofické fakulty Univerzity Karlovy.",18603199,Interview Plus,2023-04-04,11:33:40,12:00:00,premiéra,27,,Tereza Matějčková;Petr Fiala
2869,Plus,MORNING,Publicistika,"O zhruba 900 milonů korun navýší vláda mimořádně letošní rozpočet vysokým školám. Uklidní to protesty učitelů humanitních oborů za vyšší platy? Nebo je reakce kabinetu na jejich požadavky nedostatečná?  Nakolik za problémy univerzit může ministerstvo školství a špatně nastavený systém financování a nakolik si za něj mohou vysoké školy samy  udržováním duplicitních oborů? Diskutovat budeme s ekonomem Josefem Montagem z  Katedry národního hospodářství Právnické fakulty Univerzity Karlovy a s Karlem Šimou, z katedry Ústavu hospodářských a sociálních dějin Filozofické fakulty UK. Moderuje Karolína Koubová.",18603298,Pro a proti,2023-04-05,09:35:00,10:00:00,premiéra,25,Karolína Koubová,Karolína Koubová
2877,Plus,NOON,Publicistika,"Jan Kysela, ústavní právník. Doplňování Ústavního soudu se snad nikdy netěšilo takové pozornosti, jako nyní. Prezident Petr Pavel, kvůli tomu dokonce zřídil konzultační panel. Pomůže to zajistit nominaci těch nejschopnějších nebo se výběr stane matematickou kombinací všech zadaných kritérií? Odpovídat bude vedoucí panelu a nově také poradce prezidenta. Ptá se Šárka Fenyková.",18603311,Interview Plus,2023-04-05,11:34:00,11:59:00,premiéra,25,Šárka Fenyková,Jan Kysela;Petr Pavel
2952,Plus,MORNING,Publicistika,"Ministr práce a sociálních věcí Marian Jurečka posunul datum, kdy oznámí podobu důchodové reformy. Jak by reforma měla vypadat? Má nebo nemá zahrnovat zvýšení věku odchodu do důchodu? Je na tom Česko, co se týká reformy penzijního systému, výrazně hůř než ostatní evropské státy? Pozvání přijali ekonomka Danuše Nerudová, někdejší předsedkyně komise pro spravedlivé důchody, a bývalý premiér a eurokomisař pro sociální záležitosti Vladimír Špidla z ČSSD. Moderuje Karolína Koubová.",18603407,Pro a proti,2023-04-06,09:34:00,10:00:00,premiéra,26,Karolína Koubová,Marian Jurečka;Danuše Nerudová;Vladimír Špidla;Karolína Koubová
2960,Plus,NOON,Publicistika,"Martin Bursík, ekologický poradce a bývalý ministr životního prostředí. České republice se podle nového Indexu prosperity a finančního zdraví příliš nedaří zlepšovat životní prostředí. Obzvláště špatná je situace v oblasti ochrany půdy a emisí. Česká ekonomika nadále patří mezi energeticky nejnáročnější v celé EU. Je vůbec možné to nějak změnit? ",18603419,Interview Plus,2023-04-06,11:33:33,12:00:00,premiéra,27,,Martin Bursík
2962,Plus,AFTERNOON,Zpravodajství,Společné vysílání Radiožurnálu a ČRoPlus o umělé inteligenci. Moderuje Jan Pokorný.,18603422,Speciál,2023-04-06,12:10:10,13:00:00,premiéra,50,,Jan Pokorný
