,station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators,respondent
3961,Plus,MORNING,Publicistika,"Zatímco sousední Německo o víkendu vyřadilo z provozu svoje poslední nukleární elektrárny, česká vláda v aktualizované státní energetické koncepci sází na rozvoj jádra. Je zdrojově přiměřené, aby v budoucnu pokrývala jaderná energie až 56 procent výroby naší elektřiny? Nebude to na úkor získávání energie z obnovitelných zdrojů, na které naopak sází němečtí a rakouští sousedé? Zeptáme se náměstka ministra průmyslu a obchodu z pirátské strany, někdejšího specialisty útvaru bezpečnosti výstavby nových jaderných zdrojů v Temelíně Petra Třešňáka a vedoucího energetického programu Hnutí Duha Jiřího Koželouha. Moderuje Lukáš Matoška.",18604659,Pro a proti,2023-04-18,09:35:26,09:58:59,premiéra,24,Lukáš Matoška,Petr Třešňák
3969,Plus,NOON,Publicistika,"Jan Beroun, ředitel Vojenského zpravodajství. Na pomoc bránící se Ukrajině posílá Česká republika munici, zbraně i humanitární pomoc. Podílí se na pomoci i vojenská zpravodajská služba? Změnila ruská invaze styl práce vojenského zpravodajství? Moderuje Jana Magdoňová.",18604671,Interview Plus,2023-04-18,11:32:58,11:55:53,premiéra,23,,Jan Beroun
4047,Plus,MORNING,Publicistika,"Inflace začala klesat, ale ceny potravin - až na výjimky - neklesají. Kde je chyba? Měla by vláda ceny regulovat, nebo má zlevnění potravin nechat na trhu? Pomohou snížit ceny jídla kontroly u obchodníků? A odrazí se na cenách tuzemských potravin zákazy dovozu obilí z Ukrajiny, které zavádí Slovensko, Polsko a Maďarsko? Hosty budou agrární analytik Petr Havel a ředitel Potravinářského odboru na ministerstvu zemědělství Martin Štěpánek. Moderuje Karolína Koubová.",18604770,Pro a proti,2023-04-19,09:35:19,09:59:10,premiéra,24,Karolína Koubová,Petr Havel;Martin Štěpánek;Karolína Koubová
4055,Plus,NOON,Publicistika,"Jan Kulveit, vědec z Centra teoretických studií UK. Pandemie covidu-19 sice skončila, ale diskuse o oprávněnosti některých opatření stále přetrvávají. Nová metaanalýza navíc neprokázala, že by nošení roušek významně snižovalo riziko nákazy. Může sloužit jako důkaz pro odpůrce proticovidových opatření? Jak se vůbec dá provést v době pandemie relevantní studie? A víme, co dělat, kdyby se situace v budoucnu opakovala? Moderuje Šárka Fenyková.",18604783,Interview Plus,2023-04-19,11:33:41,12:00:00,premiéra,27,Šárka Fenyková,
4130,Plus,MORNING,Publicistika,"Ministr práce a sociálních věcí Marian Jurečka představil tento týden plány na změny v penzijním systému - mimořádnou valorizaci by měl nahradit dočasný příspěvek. Zajistí důchodcům dostatečnou kompenzaci v případě vysoké inflace nebo ne? A přinesou plánované změny stabilizaci důchodového systému? Pozvání do debaty přijali členové sněmovního sociálního výboru poslanec Igor Hendrych z hnutí ANO a poslanec STAN Viktor Vojtko, který je členem Jurečkova poradního týmu pro důchodovou reformu. Moderuje Karolína Koubová.",18604879,Pro a proti,2023-04-20,09:34:59,09:59:10,premiéra,25,Karolína Koubová,Marian Jurečka;Igor Hendrych;Viktor Vojtko;Karolína Koubová
4138,Plus,NOON,Publicistika,"Pavel Klíma, poslanec z TOP09. Podle úpravy navržené koaličními poslanci má od příštího roku činit plat učitele 130 procent průměrné hrubé měsíční mzdy. Proč se poslancům stále nedaří úpravu schválit? Proč úprava myslí pouze na učitele a opomíjí ostatní pedagogické pracovníky? Moderuje Jan Bumba.",18604891,Interview Plus,2023-04-20,11:33:31,12:00:00,premiéra,27,Jan Bumba,Pavel Klíma
4214,Plus,MORNING,Publicistika,Plýtvání potravinami. Společné vysílání Radiožurnálu a ČRoPlus moderuje Jan Pokorný.,18675054,Speciál,2023-04-21,08:34:13,09:00:00,premiéra,26,,Jan Pokorný
4218,Plus,MORNING,Publicistika,"Evropská komise rozhodla, že omezí dovoz ukrajinského obilí a dalších komodit na unijní trh a chystá kompenzace pro zemědělce ze států sousedících s Ukrajinou. Poškozuje levnější ukrajinské obilí i české zemědělce? A je kvůli sporu o obilí v ohrožení dosavadní masivní podpora Ukrajiny z východního křídla Evropské unie? Zeptáme se předsedy Ukrajinsko-české obchodní komory a zemědělce působícího na Ukrajině Petra Krogmana a viceprezidenta Agrární komory Václava Hlaváčka.",18604991,Pro a proti,2023-04-21,09:35:26,09:59:22,premiéra,24,,
4226,Plus,NOON,Publicistika,"Pavel Řežábek, hlavní ekonom společnosti ČEZ. Česká energetika se bude muset v budoucnu obejít bez uhlí. Vedou se ale ostré spory o to, za jak dlouho bude možné odpojit uhelné zdroje, co je nahradí a za jakou cenu. Jak obtížné je předpovídat budoucí vývoj? A existuje objektivní, nezávislý pohled, nebo vždy hrají roli podnikatelské zájmy a lobbying? Moderuje Jan Bumba.",18605003,Interview Plus,2023-04-21,11:33:59,11:58:51,premiéra,25,Jan Bumba,Pavel Řežábek
4474,Plus,MORNING,Publicistika,"Část zaměstnanců Ústavu pro studium totalitních režimů dala kvůli sporům s vedením instituce výpověď. Vedení ÚSTR i jeho radu v prohlášení kritizuje kvůli - jak píší - destabilizaci instituce a nezodpovědnému hospodaření i na 250 historiků z České republiky i zahraničí. Je na půdě ÚSTR ohroženo svobodné bádání, nebo ho mají kroky nového vedení naopak zajistit? Hosty Pro a proti Karolíny Koubové budou předseda Rady ÚSTR historik Eduard Stehlík a historik, bývalý rektor olomoucké univerzity a současný náměstek ministra školství Jaroslav Miller. Moderuje Karolína Koubová",18605283,Pro a proti,2023-04-24,09:34:41,09:59:20,premiéra,25,Karolína Koubová,Karolína Koubová;Eduard Stehlík;Jaroslav Miller
4482,Plus,NOON,Publicistika,"Olexandra Matvijčuková, právnička, obhájkyně lidských práv, ředitelka nevládní organizace Centrum pro občanské svobody oceněné loňskou Nobelovou cenou za mír. Kromě bojů na frontě Ukrajinci svádějí i zápas o světové veřejné mínění. Mezi jejich cíle patří postavit Vladimira Putina a jeho spolupracovníky před mezinárodní soud. Jak těžké je přesvědčovat mezinárodní společenství, že zločiny proti lidskosti by se měly trestat? A kdo by měl být soudce? Moderuje Jan Bumba.",18605295,Interview Plus,2023-04-24,11:33:56,11:59:56,premiéra,26,Jan Bumba,Vladimir Vladimirovič Putin
4561,Plus,MORNING,Publicistika,"Šest z deseti Čechů se podle průzkumu společnosti Ipsos obává umělé inteligence. Měl by se pozastavit její vývoj, jak poslední dobou žádají i experti v čele s podnikatelem Elonem Muskem? Nebo nehrozí, že se umělá inteligence stane z dobrého sluhy špatným pánem? Pozvání do debaty přijali filozof, bioetik a neurolog Jan Payne a profesor Českého vysokého učení technického v Praze a technický ředitel společnosti Gen Digital, dříve Avast Michal Pěchouček. Moderuje Karolína Koubová.",18605395,Pro a proti,2023-04-25,09:35:07,09:59:31,premiéra,25,Karolína Koubová,Elon Musk;Michal Pěchouček;Karolína Koubová
4569,Plus,NOON,Publicistika,"Věra Jourová, místopředsedkyně Evropské komise. Přesný počet ukrajinských dětí odvezených do Ruska nikdo nezná, jde ale nejméně o tisíce případů. Ruská strana říká, že se stará o sirotky, ukrajinská hovoří o nucených adopcích a násilném porušťování. Je naděje na prošetření těchto případů a potrestání viníků? A bude Rusko někdy platit válečné reparace? Moderuje Jan Bumba.",18605407,Interview Plus,2023-04-25,11:33:35,11:59:34,premiéra,26,Jan Bumba,Věra Jourová
4647,Plus,MORNING,Publicistika,"Širší vedení hnutí Starostové a nezávislí schválilo změnu na postu ministra školství - Vladimíra Balaše by měl nahradit dosavadní ministr pro evropské záležitosti Mikuláš Bek. Ohrožuje už třetí ministr školství během roku a čtvrt kontinuitu resortu a tím i úroveň vzdělávání? A co další výměna na postu ministra školství vypovídá o personálních kapacitách hnutí STAN? Pozvání do debaty přijali členové školského sněmovního výboru: stínová ministryně školství, poslankyně hnutí ANO Jana Berkovcová a poslanec hnutí STAN Jan Berki. Moderuje Karolína Koubová.",18605506,Pro a proti,2023-04-26,09:35:08,10:00:00,premiéra,25,Karolína Koubová,Vladimír Balaš;Mikuláš Bek;Jana Berkovcová;Jan Berki;Karolína Koubová
4655,Plus,NOON,Publicistika,"Václav Korbel, odborník na vzdělávání ze sociologické výzkumné organizace PAQ Research. Víceletá gymnázia existují přes 30 let. Stejně dlouho se vede diskuse o tom, že je jich moc a přispívají k nerovnostem ve společnosti. Je ale český vzdělávací systém připravený na to je zrušit? Případně na co nebo jak by se měla proměnit? Moderuje Šárka Fenyková.",18605519,Interview Plus,2023-04-26,11:33:37,11:59:18,premiéra,26,Šárka Fenyková,
4730,Plus,MORNING,Publicistika,"Stabilizace státního rozpočtu se podle ekonomů a odborníků z think-tanku IDEA a společnosti PAQ Research a také politiků z hnutí STAN neobejde bez zvýšení daní z příjmů zaměstnanců. Zachránilo by progresivní zdanění rozpočet? Vedlo by k efektivnějšímu a solidárnějšímu rozložení zdanění? Nebo naopak k nespravedlivému a nadměrnému daňovému zatížení lidí s vysokými příjmy? Debatovat budou zástupce ředitele think-tanku IDEA, poradce ministra práce a sociálních věcí Filip Pertold a hlavní ekonom Trinity Bank Lukáš Kovanda. Moderuje Karolína Koubová.",18605615,Pro a proti,2023-04-27,09:35:11,09:59:37,premiéra,25,Karolína Koubová,Lukáš Kovanda;Karolína Koubová
4738,Plus,NOON,Publicistika,"Věnek Bonuš, právník iniciativy Rekonstrukce státu. Nevládní organizace kritizují podobu zákona o ochraně oznamovatelů, který prošel poslaneckou sněmovnou. Podle protikorupčních aktivistů poslanci schválili příliš rozmělněnou verzi zákona, která neochrání anonymní oznamovatele. Proč by se měla prošetřovat i ta podání, která autor neměl odvahu podepsat? Moderuje Jan Bumba.",18605627,Interview Plus,2023-04-27,11:33:38,12:00:00,premiéra,27,Jan Bumba,
4817,Plus,MORNING,Publicistika,"Prezident Petr Pavel vrátil do veřejné debaty téma snížení volebního práva na 16 let jako mají v sousedním Rakousku. Prospěli by 16letí s volebním právem rozvoji společnosti a její schopnosti čelit hrozbám jako je oteplování klimatu? Nebo šestnáctiletý člověk ještě není dostatečně vyzrálý na to, aby spolurozhodoval o budoucnosti země? Pozvání do debaty přijali předsedkyně Mladého pirátstva Kateřina Stojanová a první místopředseda Mladých konzervativců Jan Hroudný. Moderuje Lukáš Matoška.",18605727,Pro a proti,2023-04-28,09:34:00,10:00:00,premiéra,26,Lukáš Matoška,Petr Pavel;Kateřina Stojanová
4825,Plus,NOON,Publicistika,"Jakub Michálek, předseda poslaneckého klubu Pirátské strany. Vládní koalice zatím neřekla, jak chce zlepšit stav veřejných financí. Kolem chystaného balíčku konsolidačních opatření panují dohady, podrobnosti by snad mohly být známy v půlce května. O co se vedou v koalici největší spory? Je důležitější zvýšit příjmy, nebo škrtat? A najdou na to politici odvahu? Moderuje Jan Bumba.",18605739,Interview Plus,2023-04-28,11:34:00,12:00:00,premiéra,26,Jan Bumba,Jakub Michálek
