station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615556,Zprávy,2023-04-01,07:00:00,07:04:35,premiéra,5,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615559,Víkendový Ranní Radiožurnál,2023-04-01,07:05:58,08:00:00,premiéra,55,Štěpán Pokorný
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615560,Zprávy,2023-04-01,07:15:00,07:15:43,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615562,Zprávy,2023-04-01,07:30:00,07:31:55,premiéra,2,
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615565,Zprávy,2023-04-01,07:45:00,07:45:45,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615567,Zprávy,2023-04-01,08:00:00,08:04:38,premiéra,5,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615570,Víkendový Ranní Radiožurnál,2023-04-01,08:06:11,09:00:00,premiéra,54,Štěpán Pokorný
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615571,Zprávy,2023-04-01,08:15:00,08:15:51,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615573,Zprávy,2023-04-01,08:30:00,08:31:54,premiéra,2,
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615576,Zprávy,2023-04-01,08:45:00,08:45:48,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,,18615578,Ranní interview,2023-04-01,08:50:35,08:57:20,premiéra,7,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615579,Zprávy,2023-04-01,09:00:00,09:05:04,premiéra,6,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby",Magazín o vědě a moderních technologiích.,18615582,Experiment,2023-04-01,09:06:46,10:00:00,premiéra,54,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615583,Zprávy,2023-04-01,09:30:00,09:32:03,premiéra,3,
Radiožurnál,NOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615586,Zprávy,2023-04-01,10:00:00,10:04:24,premiéra,5,
Radiožurnál,NOON,"Magazín zprav., publicistiky a hudby",Hostem je hudebník Michal Dvořák. Moderuje Vladimír Kroc.,18615589,Host Radiožurnálu,2023-04-01,10:06:04,11:00:00,premiéra,54,Vladimír Kroc
Radiožurnál,NOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615590,Zprávy,2023-04-01,10:30:00,10:31:54,premiéra,2,
Radiožurnál,NOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615593,Zprávy,2023-04-01,11:00:00,11:04:23,premiéra,5,
Radiožurnál,NOON,"Magazín zprav., publicistiky a hudby","Aktuální reportáže, nejrychlejší zpravodajství a informace pro spotřebitele. Moderuje Patricie Strouhalová.",18615596,Víkendový Radiožurnál,2023-04-01,11:06:03,12:00:00,premiéra,54,Patricie Strouhalová
Radiožurnál,NOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615597,Zprávy,2023-04-01,11:30:00,11:31:53,premiéra,2,
Radiožurnál,AFTERNOON,Zpravodajství,"Zpravodajský souhrn. Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615600,Hlavní zprávy,2023-04-01,12:00:00,12:08:13,premiéra,9,
Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18615603,Hlavní zprávy - rozhovory a komentáře,2023-04-01,12:09:47,12:30:00,premiéra,21,
